Age,Annual_Income,Monthly_Expenses,Savings_Rate,Debt_to_Income_Ratio,Current_Investments_Value,Total_Loan_Amount,Avg_Credit_Score,Inflation_Rate,Interest_Rate,Years_of_Employment,Job_Stability_Score,Emergency_Fund_Value,Retirement_Fund_Contribution,Customer_Segment,Future_Balance
26.0,,32546.44,,0.19,2267444.51,482297.02,719.0,5.13,5.6,6.8,0.25,547211.87,71862.24,Bronze,3239005.84
34.0,962439.66,53031.55,0.53,0.84,1000627.56,1306278.85,647.0,8.24,,,0.31,133498.01,121054.63,Gold,1140846.78
50.0,793041.97,41482.5,0.34,0.46,1325475.36,957696.13,682.0,5.53,6.81,6.2,0.12,324853.12,43433.82,Gold,1558006.47
61.0,1430617.68,59414.25,0.14,0.74,3834348.93,611410.95,626.0,5.61,8.78,16.9,0.57,185585.88,114019.67,Gold,4447075.84
24.0,1102824.45,64877.4,0.05,0.26,1767202.43,435119.54,691.0,5.56,4.65,15.7,0.43,134464.66,105230.66,Silver,1928516.2
21.0,476304.05,20816.02,0.22,0.57,728174.52,882408.69,,4.96,7.24,0.0,0.26,231723.1,29516.27,Gold,911655.16
59.0,1109745.37,47556.55,0.12,0.19,1915546.58,978385.14,635.0,6.75,,9.9,0.42,228262.35,79632.53,Silver,2297298.81
44.0,1146664.25,50846.22,,0.67,1338409.31,,632.0,5.98,5.1,,0.38,374474.31,83254.54,Silver,1758910.26
31.0,756347.39,47777.4,0.57,0.68,1407303.9,494321.6,608.0,6.61,7.98,9.7,0.56,268016.24,53163.73,Silver,1750608.56
45.0,494880.21,21108.55,0.34,0.49,1452892.25,1946127.62,666.0,7.82,,8.6,0.24,264050.07,28610.37,Silver,1797882.16
,902908.72,43619.23,0.66,0.12,3161853.59,372229.37,706.0,7.16,4.63,5.2,,202889.2,126792.3,Silver,4211549.61
40.0,897229.16,32394.05,0.23,0.65,1103048.26,604269.95,637.0,6.81,5.61,3.9,0.14,195195.71,46724.62,Gold,1558835.32
43.0,574635.7,28354.5,0.34,0.39,1457684.57,451141.64,,7.79,6.37,17.3,0.53,134718.32,60397.04,Silver,1807053.11
,503662.84,32773.58,0.33,0.14,1710743.75,814826.86,681.0,4.68,6.85,6.9,0.48,222350.42,38944.15,Silver,2075261.27
30.0,869026.26,38758.88,0.2,0.26,1978619.64,389809.95,682.0,5.53,,8.9,0.28,102949.34,97144.4,Bronze,2309254.5
41.0,819884.84,49362.76,0.41,0.3,2748023.89,877821.21,649.0,8.34,,6.7,0.36,154685.4,99252.85,Gold,3303916.59
31.0,761651.13,48311.86,0.23,0.74,3093126.35,273667.8,693.0,5.43,6.1,2.9,0.14,209120.01,87620.18,Gold,3611696.66
,870467.54,34380.5,,,2505320.64,925222.1,628.0,8.33,7.34,2.8,0.01,205914.33,119372.79,Gold,3023634.97
31.0,578989.43,,0.21,0.18,1794159.84,1305975.85,617.0,7.37,11.53,7.0,0.25,,77803.8,Silver,2226946.84
,756321.48,28835.99,0.09,0.12,1818048.36,645098.29,659.0,5.89,4.59,12.4,,,42166.88,Silver,2200133.6
30.0,1114013.76,39652.06,0.51,0.12,3347109.67,351949.39,649.0,5.83,6.77,5.6,0.3,264698.99,83566.09,Silver,4384560.61
47.0,782431.78,43268.76,,0.39,2174016.62,,631.0,7.26,9.3,17.9,0.57,95377.63,68592.76,Gold,2864888.92
49.0,461095.77,,0.16,0.47,1628688.48,232258.48,,6.97,7.83,12.5,0.44,92049.55,48156.38,Bronze,1884293.15
38.0,744950.56,36935.49,0.23,0.54,2238281.82,1016004.09,632.0,6.8,7.55,11.0,0.57,234482.53,111654.11,Bronze,2806256.9
40.0,586593.09,17552.55,0.43,0.08,1371118.07,396727.63,744.0,5.28,8.07,4.1,0.09,281476.64,51351.17,Bronze,1720054.29
26.0,1001495.12,60130.38,0.42,,2607906.35,234720.28,680.0,7.05,6.14,0.6,0.18,238741.23,65712.87,Bronze,3057807.59
37.0,1022422.13,55811.88,0.13,0.04,1380817.24,372315.09,670.0,8.34,7.02,5.3,0.3,84640.34,108655.23,Bronze,1811367.23
39.0,463536.4,19020.73,0.46,0.16,,1384600.57,675.0,4.43,10.2,8.0,0.39,166045.65,56920.58,Silver,1446878.73
65.0,1219260.68,54432.6,0.32,0.26,2349784.52,1335625.62,699.0,6.88,6.9,0.6,0.03,137871.57,63387.61,Silver,2986209.45
29.0,576814.22,21547.99,,0.48,1925195.61,339291.15,623.0,,8.06,0.0,0.23,279099.22,49194.9,Silver,2502263.52
55.0,1679191.45,68853.59,0.25,0.4,,1479506.31,648.0,4.95,9.0,10.9,0.26,173817.57,107129.64,Gold,4495651.57
50.0,882610.73,38209.22,0.29,0.62,2903374.49,309304.24,594.0,6.88,6.34,8.8,0.26,89980.5,124065.6,Gold,3285232.49
43.0,546665.65,28452.06,0.32,0.67,1172354.01,690528.76,624.0,5.71,7.12,13.6,0.4,,58831.05,Silver,1567924.43
58.0,569979.47,22978.24,0.03,0.07,968945.32,2125187.86,717.0,6.76,7.1,0.0,0.18,257014.55,46339.88,Bronze,1269383.93
44.0,1034457.98,57859.99,0.26,0.06,1648536.18,1133650.48,647.0,5.74,6.73,10.2,0.45,515128.25,54481.9,Gold,2462805.47
44.0,769603.01,31273.38,0.04,0.39,1870104.18,922465.56,735.0,6.01,7.61,1.7,0.06,183792.08,44229.91,Silver,2270422.39
39.0,865868.63,40817.7,0.15,0.14,2433389.38,,685.0,7.16,6.42,6.2,0.34,155988.08,98808.84,Silver,3001828.54
52.0,1715580.62,66501.39,0.25,0.13,2580635.02,820645.47,618.0,5.81,4.89,12.6,0.42,209728.5,87578.35,Gold,3192261.78
51.0,680411.08,33971.9,0.3,0.42,2413403.51,559486.4,692.0,4.28,6.57,8.5,0.33,219530.24,77524.97,Silver,2865650.95
34.0,921847.59,34214.77,0.33,0.61,3286894.87,487938.86,,5.38,6.43,4.3,0.2,282745.34,102954.91,Silver,3912663.68
27.0,1588161.85,77238.05,0.64,0.48,2239114.69,210989.72,612.0,,7.71,8.4,0.59,274677.99,184769.99,Silver,3230322.35
38.0,1002848.93,43078.9,0.11,0.52,2906870.09,691794.64,647.0,6.61,5.5,,0.52,187887.12,92018.01,Bronze,3389238.28
32.0,473311.47,11915.76,0.13,0.32,1366422.5,545630.86,603.0,5.72,10.49,3.5,0.29,110684.74,44034.89,Gold,1602857.09
39.0,1101634.61,34282.76,0.2,0.05,3266605.48,628755.31,683.0,6.13,5.15,6.3,0.29,220407.62,102766.07,Gold,3977205.1
52.0,565207.9,29567.14,0.57,0.28,1986684.7,224980.98,718.0,6.07,8.87,8.7,0.26,,41247.09,Gold,2708218.5
35.0,1579901.49,54422.64,0.47,0.34,3668147.36,867460.91,662.0,6.96,8.54,7.4,0.32,135480.34,124356.33,Silver,4657883.06
40.0,647583.49,33645.7,0.16,0.11,2551517.93,963116.81,608.0,5.75,4.72,11.7,0.53,314737.28,60786.87,Gold,2978408.36
41.0,2951883.05,119228.32,0.14,0.55,5000000.0,252328.89,627.0,6.86,7.18,5.9,0.38,128065.8,,Silver,5912152.85
48.0,1618645.81,79068.82,0.15,0.55,2805670.01,477327.21,640.0,6.41,6.01,14.5,0.54,196216.65,185894.01,Silver,3377461.15
21.0,654420.25,41136.95,0.2,0.38,2064614.13,1079813.34,611.0,6.11,5.65,5.1,0.2,146424.94,46618.04,Bronze,2458098.3
34.0,907233.89,43337.76,0.17,0.04,1732900.76,304777.45,648.0,6.22,8.02,9.3,0.44,178476.01,58985.91,Silver,2122388.04
42.0,1216645.15,68741.49,0.24,0.19,1683055.1,594723.15,647.0,6.25,6.19,0.0,0.05,304590.71,144626.26,Silver,2444041.62
52.0,1231340.82,69449.57,0.15,0.66,1922965.16,185038.57,656.0,6.99,7.37,12.7,0.36,230821.67,155500.69,Silver,2515625.13
35.0,1074197.63,64402.84,0.46,0.38,2951404.66,832307.6,599.0,4.89,7.07,6.9,0.24,230062.17,,Gold,3631936.18
21.0,1485131.17,50633.53,0.29,0.19,4976659.93,236960.47,726.0,5.75,5.31,6.4,0.14,427135.25,137667.95,Bronze,5906013.46
46.0,856802.28,50119.87,,0.5,1272841.48,668983.45,711.0,4.55,7.88,0.0,0.17,153639.51,118566.18,Gold,1762957.12
34.0,777207.76,51912.43,0.21,0.49,2857993.87,571108.3,680.0,4.93,6.73,0.0,0.26,273799.95,40249.66,Silver,3149121.04
28.0,783404.5,32925.91,0.03,0.35,1056048.09,514570.14,672.0,,9.31,2.7,0.14,100961.71,110949.07,Silver,1230763.98
34.0,1268694.95,51760.29,0.27,0.42,1811516.75,974726.54,639.0,6.34,8.43,9.9,0.51,,150484.48,Silver,2398672.64
38.0,1041551.99,66763.88,0.35,0.33,2114170.8,335712.62,604.0,5.19,7.61,17.7,0.46,242291.87,138380.42,Gold,2852623.91
34.0,1011215.38,50716.09,0.61,0.41,2314059.9,173352.8,646.0,6.61,7.62,12.6,0.39,200839.02,128583.49,Silver,3172042.77
21.0,1237054.54,50222.17,0.09,0.37,,296093.24,715.0,5.9,8.15,8.1,0.24,180417.35,102695.2,Silver,3784808.78
49.0,396221.66,26513.43,0.08,0.58,760212.8,735578.62,624.0,6.35,8.39,9.4,,432653.88,58547.93,Silver,1098455.22
53.0,1018842.33,41517.86,0.11,0.28,957284.21,2482100.5,735.0,5.54,9.47,14.2,0.43,277418.17,116665.24,Silver,1273590.39
47.0,982226.88,36720.96,0.61,0.28,3074309.3,1475798.67,684.0,6.65,8.26,11.4,0.26,,117320.84,Silver,3813106.15
29.0,1754462.81,84821.47,0.25,0.19,3057212.64,230413.43,693.0,7.23,8.97,4.4,0.36,138311.39,196777.55,Gold,3780753.26
38.0,488314.45,26758.27,0.33,0.2,1045951.58,597973.67,710.0,7.29,6.62,15.8,0.44,501880.98,62235.97,Silver,1555950.22
40.0,1677851.55,90744.51,0.12,0.63,1499370.94,502038.08,617.0,5.84,,0.0,0.16,159027.08,171489.54,Gold,1854291.19
46.0,927560.86,42452.99,0.04,0.02,3188978.02,1326453.36,677.0,8.28,7.35,13.1,0.35,126117.45,98398.62,Silver,3591214.77
47.0,1094431.77,62560.89,0.08,0.09,3244303.22,,677.0,5.94,6.27,7.4,0.41,139915.74,150905.38,Bronze,3703813.04
33.0,1759460.1,69779.5,0.1,0.12,5000000.0,380987.01,680.0,6.72,8.58,10.1,0.46,348227.46,168250.87,Gold,5930118.02
41.0,1126306.83,54365.51,0.71,0.39,,809303.59,654.0,7.27,4.03,6.3,0.18,167735.36,137637.37,Bronze,2751746.33
45.0,1056315.38,37930.18,0.16,0.55,2475317.22,1098154.07,686.0,7.22,6.5,7.5,0.44,220176.57,68160.6,Silver,2974520.15
55.0,991591.51,39787.56,0.28,0.13,2505766.01,663935.85,685.0,7.35,6.57,,,213697.24,135098.42,Gold,3059048.6
47.0,741743.51,45840.9,0.65,0.48,1146244.32,2178476.29,643.0,7.3,,14.4,0.58,68734.22,89082.24,Bronze,1573567.24
,889802.13,40347.69,0.2,0.39,2031710.32,314527.89,659.0,5.77,,19.9,0.7,139575.14,105400.97,Silver,2324090.75
41.0,675997.69,39712.09,0.2,0.44,1371661.14,746445.73,546.0,5.86,7.84,7.0,0.36,361016.71,55406.63,Silver,1777715.77
,884098.08,36342.57,0.35,0.27,2169741.72,934134.19,647.0,,7.56,13.7,0.48,132084.78,,Silver,2608007.87
44.0,353549.14,13149.52,0.32,0.3,1459353.16,1042472.48,653.0,6.49,8.56,9.2,0.26,119446.79,33811.21,Silver,1561681.46
31.0,1068499.48,33065.42,0.16,0.32,1899110.14,187440.2,687.0,3.64,5.68,3.2,0.21,115018.89,,Silver,2305413.47
54.0,857224.51,48611.96,0.54,0.37,2463103.97,725461.38,672.0,8.17,6.1,9.5,0.38,261293.62,106841.21,Silver,3210411.66
47.0,786752.15,31598.01,0.05,,2809081.39,395912.73,695.0,6.89,6.82,4.2,0.04,259597.69,50328.19,Bronze,3182083.3
36.0,982694.21,46223.75,0.07,0.13,1902177.27,799817.15,717.0,5.87,5.95,,0.5,307696.24,67639.76,Gold,2329355.3
35.0,507232.36,32722.74,0.48,0.37,899076.41,407708.35,689.0,5.18,5.84,11.1,,582807.5,36082.59,Silver,1339983.34
43.0,1947112.46,,0.5,0.33,5000000.0,665290.14,660.0,5.53,4.03,1.5,0.0,201790.59,266226.07,Silver,6493871.54
45.0,863753.8,40415.41,0.49,0.45,3026249.6,639164.94,663.0,5.22,10.35,9.4,0.19,132992.4,84792.15,Gold,3664254.36
42.0,848998.14,36807.58,0.3,,2475826.46,822825.99,686.0,6.25,6.83,14.7,0.53,1000000.0,63910.6,Silver,3305454.81
43.0,611696.52,40419.34,0.33,0.42,894947.86,1498702.34,720.0,4.46,6.62,1.7,0.05,181743.79,59500.84,Gold,946752.04
57.0,908662.12,38310.19,0.38,0.06,2938439.28,234289.84,665.0,8.42,6.87,16.8,0.5,118258.68,85162.63,Silver,3779947.6
51.0,1567408.22,54565.92,0.21,0.25,4095003.85,443053.81,596.0,6.04,10.95,3.1,0.06,89677.44,184846.01,Gold,5085785.88
42.0,1362070.5,57786.52,0.4,0.32,1811226.45,378495.13,699.0,6.54,5.25,3.2,0.32,259939.34,93977.68,Silver,2437237.18
49.0,1266699.36,67527.2,0.41,0.44,2570585.95,552162.27,600.0,4.95,5.87,11.4,0.37,204218.49,73077.93,Silver,3267867.8
30.0,11198548.3,315195.3,0.33,2.0,,322592.26,664.0,6.99,5.34,0.5,0.08,109634.7,144887.3,Gold,4386927.05
44.0,779753.43,46838.05,0.21,0.13,,2354703.57,713.0,6.17,6.01,6.1,0.25,257873.94,108306.36,Gold,1772161.84
58.0,503875.64,31259.87,0.24,0.59,1452575.48,552299.06,652.0,5.06,9.45,16.3,0.44,179137.93,27831.52,Silver,1693556.21
38.0,830459.58,34465.14,0.5,0.54,1983476.46,791122.71,566.0,6.62,10.07,13.7,0.4,289005.63,81700.16,Silver,2337776.27
,818968.96,36341.53,0.2,0.22,2585115.19,751586.41,692.0,5.94,5.89,9.3,0.37,292611.55,89428.4,Silver,3174629.61
33.0,1369105.03,72094.59,0.44,0.32,1050759.54,1935500.93,,5.46,7.36,5.7,0.47,222671.38,161359.29,Silver,1668785.35
29.0,1018565.9,62533.06,0.01,0.42,1384015.22,821979.14,672.0,5.49,9.51,8.4,0.56,172565.3,51783.84,Silver,1742583.34
32.0,1715259.01,68960.67,0.48,0.29,4744341.98,571352.0,571.0,5.62,8.62,12.7,0.55,185721.68,226644.81,Silver,6183370.95
36.0,1453006.56,65402.9,0.24,0.06,4493107.38,1086862.3,716.0,5.63,7.78,5.9,0.2,199937.4,157503.55,Silver,5499801.94
26.0,749792.51,45840.32,0.35,0.11,2239549.56,1525035.87,679.0,6.4,6.82,19.2,0.53,198310.51,56718.43,Silver,2745499.77
40.0,438931.38,22144.58,0.16,0.15,839303.88,1344793.72,807.0,4.08,6.8,3.9,0.14,289312.76,45430.3,Silver,1044685.2
49.0,1566540.33,69740.46,0.55,0.71,3222603.29,427164.58,603.0,5.54,7.61,7.2,0.29,142711.19,196620.96,Bronze,3849088.29
31.0,1550214.91,90529.88,0.22,0.59,4051795.12,939325.84,684.0,6.6,7.17,9.6,0.36,210186.03,102845.62,Silver,4641004.65
55.0,521083.41,30329.59,0.39,0.12,1296354.87,840357.67,716.0,4.89,5.86,13.1,0.42,63483.77,60016.77,Bronze,1775233.16
45.0,1645979.24,57619.13,0.2,,4339607.47,492777.03,693.0,5.91,,11.0,0.55,166205.43,171530.28,Silver,5230498.3
50.0,1048631.89,43902.16,0.7,0.38,3273076.4,1754457.25,704.0,7.41,10.46,10.6,0.24,411724.96,146349.67,Silver,4267735.26
,959746.28,38619.71,0.39,0.26,1696420.71,813052.84,620.0,4.66,7.07,5.5,0.28,174182.39,132802.0,Silver,2355710.86
49.0,1716955.71,,0.29,0.42,2897229.56,350540.44,603.0,5.2,7.6,,0.27,295082.17,212984.04,Gold,3819591.55
29.0,1541126.36,94780.74,0.31,0.21,4474764.0,397195.9,780.0,7.06,7.15,19.2,0.54,190886.68,164179.05,Silver,5467441.74
49.0,1167858.66,67237.87,0.18,0.13,3381508.53,977306.5,700.0,7.32,7.56,4.7,0.24,367658.24,104163.57,Silver,3938729.08
42.0,1087548.75,44156.63,0.11,0.11,2043514.57,340530.42,629.0,6.76,4.34,11.1,0.4,350230.98,104772.99,Gold,2622365.9
46.0,1151651.73,33605.19,0.28,0.34,3274012.29,391655.13,675.0,5.7,7.32,6.6,,257329.87,68781.33,Silver,3828841.46
,766911.79,43353.62,0.02,0.5,,351085.8,635.0,6.21,6.13,1.3,0.14,470552.64,106765.0,Gold,3003929.39
31.0,880380.49,34788.72,0.15,0.35,2950749.57,663340.62,649.0,5.55,9.7,13.8,0.21,103754.16,97675.88,Gold,3426824.23
46.0,627326.98,33492.83,0.62,0.2,705994.34,296951.22,671.0,6.32,7.83,13.6,0.51,187568.33,,Silver,1084456.89
31.0,787748.48,38345.54,0.53,0.2,2012277.08,,676.0,7.27,7.4,7.0,0.19,140602.39,51933.09,Silver,2573239.65
45.0,777233.8,34873.79,0.07,0.33,2816637.73,711422.55,595.0,6.72,7.39,4.4,0.28,343645.84,40985.37,Bronze,3166526.65
26.0,698037.35,43620.02,,0.08,913572.9,2190486.13,661.0,5.97,8.38,8.2,0.27,201169.55,96198.91,Gold,1187055.02
48.0,950600.0,27252.13,0.27,0.56,1129287.27,661944.75,638.0,7.02,5.04,7.2,0.26,225444.66,53276.7,Gold,1423007.05
28.0,790608.12,41119.86,0.34,0.46,969290.14,1236890.96,701.0,5.83,7.14,15.7,0.52,197347.33,87506.68,Gold,1245977.54
46.0,1100245.54,47418.49,0.3,0.42,,713003.35,612.0,7.14,8.09,0.9,0.16,186978.24,56021.09,Gold,2870311.52
46.0,470345.02,32403.83,,0.32,1381568.15,1469761.92,600.0,5.93,6.51,10.0,0.4,171064.71,,Gold,1659925.93
33.0,860103.6,47376.7,0.27,0.21,1903900.64,363430.55,655.0,4.52,6.58,3.8,0.38,35973.57,81556.99,Bronze,2493298.79
46.0,948626.76,31060.47,0.29,0.5,2370641.37,1224939.37,637.0,6.41,7.15,14.2,0.39,207043.54,85857.35,Silver,2813882.04
43.0,794841.77,34025.53,0.28,0.11,2016177.95,496093.48,651.0,6.19,5.12,7.8,0.53,219507.0,,Silver,2583934.45
35.0,840030.07,29900.48,0.1,0.24,1931060.58,405285.62,658.0,7.86,8.19,,0.37,291626.4,119226.69,Gold,2361658.84
30.0,477372.14,20213.12,,0.41,1352458.37,495677.34,715.0,7.79,5.37,5.9,0.41,393515.32,38950.29,Silver,1904600.67
21.0,1037932.06,58347.33,0.19,0.08,2440893.76,337931.49,759.0,6.78,6.39,3.1,0.42,148268.92,102591.63,Silver,2995042.06
,1166119.86,45121.19,0.1,0.67,3859398.09,1087120.27,630.0,5.22,6.48,10.0,0.11,241677.15,92407.75,Silver,4314133.3
24.0,1096424.47,50150.18,0.13,0.28,2650383.58,1380145.16,663.0,6.14,7.46,10.6,0.38,214148.43,59097.84,Gold,3196257.91
,1363602.79,51356.66,0.23,0.74,3852682.73,392007.26,665.0,4.41,9.5,9.1,0.33,305336.25,184044.59,Silver,4554067.83
37.0,975555.06,53182.96,,0.4,1479234.77,555503.33,658.0,6.1,7.87,5.8,0.2,150518.47,117544.15,Silver,2030518.21
47.0,1089928.35,60106.22,0.07,0.33,2281324.83,395972.77,740.0,4.59,5.83,5.6,0.11,59223.14,152798.81,Silver,2809841.2
37.0,957983.98,38891.42,0.44,0.39,3397577.02,415382.97,679.0,7.23,5.2,,0.09,81006.38,120435.16,Silver,4109202.36
37.0,1184901.65,58291.81,,0.44,2658944.55,746806.42,630.0,6.53,7.65,8.3,0.37,297023.1,165569.08,Gold,3447099.41
47.0,478905.32,28031.91,0.12,0.02,1052260.6,1369919.68,739.0,6.31,5.71,1.0,0.14,169240.61,70637.96,Bronze,1348204.8
43.0,629522.99,27409.36,0.19,0.17,851188.85,309898.27,695.0,7.43,8.43,12.1,0.23,171619.98,46344.71,Silver,1086413.59
,16979121.5,454387.1,0.5,2.0,3760269.82,528655.74,699.0,6.43,7.95,11.9,0.51,227713.81,,Bronze,4922749.91
45.0,336372.92,17198.99,0.5,0.32,795077.16,,711.0,6.17,7.35,12.5,0.43,219598.04,49788.83,Silver,1002218.84
25.0,850924.66,34113.62,0.3,0.55,1435534.65,1093736.09,604.0,4.75,5.26,5.9,0.49,551499.15,67612.12,Silver,1879018.15
48.0,1438426.01,68388.22,0.21,0.31,3019489.08,1162623.47,684.0,7.01,11.25,20.6,0.55,223070.47,207684.81,Gold,3767214.8
46.0,,,0.03,0.39,2322265.83,348697.87,694.0,6.25,5.79,9.4,0.16,81328.97,97071.02,Silver,2613124.85
30.0,765393.69,46903.25,0.05,0.41,1437818.48,623704.34,,6.91,8.15,8.1,0.19,177853.39,,Bronze,1598156.68
,947818.88,30848.01,0.13,0.29,2863606.37,513211.98,735.0,5.38,5.15,5.4,0.2,121637.74,88844.9,Silver,3465895.7
40.0,781446.5,28781.61,0.21,0.3,1995750.93,901167.46,686.0,5.24,8.67,9.0,0.32,130693.47,39706.72,Silver,2310329.79
39.0,911174.62,40865.13,,0.12,2725576.92,423667.2,703.0,6.71,6.73,0.0,0.11,,62483.52,Gold,3641384.38
43.0,684742.15,33940.37,0.19,0.59,1047685.21,1543452.43,618.0,6.88,7.08,9.0,0.41,399861.53,77300.62,Gold,1157756.76
54.0,1402293.7,77151.47,0.24,0.17,1125367.83,400449.37,676.0,7.57,6.45,6.0,0.3,124475.62,200409.28,Silver,1839457.86
51.0,1590336.22,61888.4,0.21,0.58,2746899.45,773619.23,650.0,5.23,9.58,14.5,0.49,119226.27,163205.9,Bronze,3294600.24
27.0,853238.09,53101.91,0.02,0.41,1362082.04,1175277.23,685.0,6.64,8.2,12.0,0.45,159670.06,110083.71,Silver,1855203.12
46.0,516873.93,38780.96,0.29,0.4,1150005.77,4023183.71,673.0,6.34,6.29,4.5,0.06,382822.83,77383.37,Gold,1471278.94
53.0,729863.47,36542.34,0.04,0.2,2622443.13,305563.92,695.0,5.21,6.18,7.9,0.14,222844.13,103107.25,Gold,2893283.31
44.0,836142.71,48114.83,0.48,,2861282.12,792341.94,665.0,5.27,8.15,0.4,0.1,177946.76,,Silver,3717902.05
51.0,1101700.65,49990.29,0.23,0.68,2099911.78,,585.0,6.58,10.54,5.3,0.3,191221.29,117017.63,Silver,2359221.88
60.0,6013574.2,101326.8,0.51,2.0,1758150.54,286209.05,717.0,6.81,6.77,10.0,0.21,548502.71,42563.09,Silver,2462034.35
50.0,661645.45,24756.95,0.12,0.34,1380876.77,864587.57,682.0,5.66,7.91,7.3,0.22,281831.06,,Gold,1726219.02
42.0,1103966.87,35175.61,,0.53,720239.83,618779.05,643.0,5.52,8.7,1.9,0.14,152565.67,106762.35,Bronze,990870.83
50.0,1310230.42,76827.36,0.15,0.33,3656784.06,276657.79,644.0,4.69,6.95,1.2,0.31,,145991.04,Silver,4301895.78
41.0,701876.28,,0.19,,1894798.49,856727.28,684.0,9.05,7.05,9.3,0.32,154343.51,36880.95,Silver,2402499.94
40.0,528006.16,30168.93,0.31,0.3,2025409.63,1356534.24,680.0,5.47,6.02,11.0,0.28,115090.08,68188.77,Silver,2388780.59
36.0,3000000.0,104382.17,0.65,,3051609.44,309391.7,694.0,5.04,7.43,14.4,,140434.58,303495.92,Gold,5523203.42
56.0,1231165.37,62207.88,0.17,0.23,3357876.81,581310.25,663.0,6.76,6.13,7.5,0.11,305747.55,173257.95,Silver,4068662.97
32.0,808833.64,34828.82,0.4,,3175943.27,1131643.79,619.0,5.81,5.87,18.8,0.41,510853.27,78007.86,Gold,3828387.79
55.0,1274115.22,69952.37,0.09,0.16,,1140640.27,711.0,5.88,5.33,,0.25,239870.06,71551.95,Bronze,3072088.84
45.0,856292.58,27573.48,0.59,0.81,1766054.07,438108.04,608.0,5.21,7.08,6.8,0.21,129669.42,91837.65,Silver,2173230.14
26.0,1273160.31,71247.0,0.19,0.31,2261018.65,644482.35,709.0,6.54,5.8,9.1,0.34,458432.45,75600.58,Silver,2770139.64
44.0,959250.3,52342.46,0.22,0.28,1790788.84,799291.12,627.0,5.03,7.48,9.0,0.5,161242.05,,Gold,2092418.92
21.0,933465.05,50529.22,0.35,0.28,3071645.32,540009.33,620.0,4.89,,6.1,0.27,214365.43,120601.57,Gold,3683575.5
46.0,860025.48,27565.5,0.24,0.12,2137317.0,1456819.45,733.0,5.72,5.69,,0.14,413083.64,111103.5,Silver,2888033.81
49.0,504436.63,20415.92,0.33,0.51,1275333.72,1503611.52,586.0,5.68,7.9,1.3,0.17,195534.83,48540.49,Bronze,1765136.0
34.0,1953997.83,108963.48,0.46,0.16,4240713.68,,635.0,6.74,7.45,2.5,0.26,303935.4,141179.76,Gold,5550263.02
41.0,617563.07,22669.49,0.07,0.3,1634834.08,322709.12,622.0,4.69,8.53,8.9,0.36,231460.01,45924.52,Silver,1849594.93
60.0,5223748.0,91601.04999999999,0.12,2.0,868525.59,639650.47,601.0,6.95,7.35,24.3,0.8,222344.12,68371.0,Bronze,1035639.15
35.0,826542.06,41283.82,0.08,0.53,1441333.68,1402983.78,689.0,6.97,6.78,7.2,0.36,305629.56,48017.61,Bronze,1621003.67
29.0,612657.49,23070.25,0.51,0.55,1401906.19,713041.65,604.0,7.12,8.73,9.6,0.4,225109.28,35980.21,Silver,1707763.61
55.0,881574.62,32053.56,0.35,0.32,2059549.38,250174.03,628.0,4.88,7.68,7.1,0.3,281024.93,125188.34,Silver,2697220.21
60.0,1185002.67,59391.4,0.22,0.38,3673106.29,688422.26,658.0,5.06,8.13,10.2,0.32,208394.99,122691.51,Silver,4287622.42
40.0,1340121.99,55898.73,0.69,0.19,4573709.35,548525.85,682.0,6.62,7.54,0.0,0.05,397221.74,179959.32,Silver,6082756.92
50.0,1246739.54,43381.24,0.55,0.09,3314821.05,418176.23,735.0,8.32,5.15,1.5,0.15,480856.98,104881.79,Silver,4475273.17
53.0,796432.15,43410.74,0.48,,,684023.75,662.0,6.04,4.47,2.4,0.08,217634.92,110531.89,Gold,1609572.65
,918031.31,39674.46,0.55,0.64,3608738.9,1257434.33,619.0,6.47,,14.3,0.48,88415.73,104109.01,Bronze,4128077.92
35.0,,57470.79,0.33,0.48,1648014.99,,617.0,5.02,6.19,3.9,0.28,215122.04,80222.15,Gold,2050461.89
52.0,445536.78,17135.82,0.4,0.19,1062250.42,523594.93,607.0,6.24,10.61,8.2,0.44,209534.75,51465.45,Silver,1381224.82
57.0,1130741.22,55773.47,0.2,0.17,3120838.12,704431.42,698.0,5.92,5.19,5.0,0.18,,126427.32,Bronze,3991454.86
46.0,502439.41,22850.19,0.21,0.26,620571.44,764303.28,682.0,6.65,8.06,15.3,0.49,307198.84,55821.47,Gold,828867.1
31.0,2035574.57,83609.8,0.21,0.38,5000000.0,592119.6,600.0,6.85,5.23,13.3,0.4,366703.23,277490.92,Silver,6173157.76
60.0,765545.56,30776.3,0.52,0.33,1988091.0,447734.79,,,7.58,11.9,0.38,259733.79,74861.15,Gold,2659560.59
35.0,835846.26,27565.41,0.12,0.4,2918309.81,1318354.76,583.0,,6.52,13.4,0.55,194445.36,121335.85,Gold,3455542.4
37.0,661501.28,40357.84,,0.15,1701215.47,988459.53,645.0,5.04,4.76,10.8,0.44,131067.26,73619.32,Silver,1978736.38
43.0,699528.65,31951.66,,0.47,1087626.56,408922.23,623.0,7.03,7.13,6.7,0.26,141149.26,74817.28,Gold,1356595.49
56.0,2235079.76,111678.96,0.15,0.44,4359888.66,369159.48,678.0,6.57,7.58,11.2,0.42,202812.92,265667.73,Gold,5310416.64
